symbol,return,max_dd,trades,winrate
ALICE/USDT:USDT,1.1149828096782533,-0.01357447407963941,458,0.4279475982532751
CELO/USDT:USDT,1.044093852806947,-0.02593020686394376,426,0.30985915492957744
GTC/USDT:USDT,1.029450818695517,-0.028518937347404738,443,0.3227990970654628
ATA/USDT:USDT,0.9728574590794288,-0.03618537064432448,444,0.36261261261261263
DYDX/USDT:USDT,0.8742880492320004,-0.015463641476204604,435,0.3701149425287356
FLOW/USDT:USDT,0.7077655611485876,-0.015228162797813694,459,0.3224400871459695
C98/USDT:USDT,0.7075817241578399,-0.019185990727857982,467,0.3961456102783726
DENT/USDT:USDT,0.6364288532596503,-0.012145615457741066,388,0.3865979381443299
SNX/USDT:USDT,0.519472052522467,-0.013015020002724254,586,0.4249146757679181
OGN/USDT:USDT,0.47710304630124156,-0.019974923166593217,474,0.39451476793248946
CTSI/USDT:USDT,0.45124703934664323,-0.01595007046930763,476,0.41596638655462187
ONE/USDT:USDT,0.33734379986926366,-0.01813429391726462,365,0.41643835616438357
CHR/USDT:USDT,0.3360549152515364,-0.013829907789835505,556,0.38489208633093525
CRV/USDT:USDT,0.32537050490532393,-0.019601360789984867,380,0.40789473684210525
XTZ/USDT:USDT,0.31201168474888896,-0.015971775165951496,543,0.36279926335174956
LRC/USDT:USDT,0.29374027121766155,-0.11072754165257193,445,0.5325842696629214
ICX/USDT:USDT,0.2779809893381686,-0.012162539672787465,499,0.4168336673346693
CELR/USDT:USDT,0.25640280766872614,-0.021507572415928822,370,0.3675675675675676
ONT/USDT:USDT,0.2236091790466075,-0.011871532292467402,545,0.3651376146788991
PEOPLE/USDT:USDT,0.19696068085165264,-0.011595476939224247,398,0.44974874371859297
GALA/USDT:USDT,0.1797415192194658,-0.011076420983340718,411,0.40389294403892945
ZIL/USDT:USDT,0.16785588701276044,-0.0075507027766060775,365,0.3452054794520548
BEL/USDT:USDT,0.13593708474547728,-0.010843278286404301,525,0.4438095238095238
IOTA/USDT:USDT,0.131525731385858,-0.009920623268757978,542,0.37822878228782286
NEAR/USDT:USDT,0.12996069212280714,-0.01900151321631438,565,0.46194690265486726
HOT/USDT:USDT,0.1244677105776828,-0.01917491082876066,402,0.2860696517412935
FIL/USDT:USDT,0.1243841705900477,-0.020711891647800518,557,0.4380610412926391
DOT/USDT:USDT,0.11018525114038336,-0.01820506443920611,560,0.4660714285714286
MTL/USDT:USDT,0.10922451243384024,-0.007890239844161373,479,0.5657620041753654
NKN/USDT:USDT,0.1062174543074359,-0.016842579313944395,490,0.4530612244897959
RVN/USDT:USDT,0.10518063719915749,-0.0064515956612580805,367,0.3678474114441417
1000XEC/USDT:USDT,0.10084202082501603,-0.01047262147637018,509,0.37328094302554027
ARPA/USDT:USDT,0.09347801622313834,-0.01008431145918487,519,0.4046242774566474
ROSE/USDT:USDT,0.09150552276000945,-0.012030694116990093,374,0.393048128342246
SKL/USDT:USDT,0.09071615588407256,-0.01094413026429275,372,0.43548387096774194
QTUM/USDT:USDT,0.08593696481160706,-0.06455893434577986,527,0.4478178368121442
KAVA/USDT:USDT,0.08280482021826341,-0.01673935850204722,544,0.34375
AXS/USDT:USDT,0.07604148452893233,-0.015669888275944177,489,0.37627811860940696
MANA/USDT:USDT,0.07555692709562467,-0.012248925875503969,547,0.4076782449725777
BAT/USDT:USDT,0.06835440798312797,-0.02587885781539445,468,0.49572649572649574
BAND/USDT:USDT,0.06806692574308304,-0.031330173555074836,505,0.48316831683168315
STORJ/USDT:USDT,0.06612119966696306,-0.024134586965459004,414,0.4178743961352657
IOTX/USDT:USDT,0.06601776320634167,-0.01578965981086,469,0.31556503198294245
ZRX/USDT:USDT,0.06527837801055947,-0.012770402538061276,361,0.43213296398891965
IOST/USDT:USDT,0.05635970509138466,-0.01224748298309597,416,0.4206730769230769
YFI/USDT:USDT,0.05261661852353594,-0.012173193770101398,503,0.46123260437375746
LPT/USDT:USDT,0.0513700059355886,-0.015202623887133448,488,0.5061475409836066
THETA/USDT:USDT,0.050543668853505475,-0.024364108969980425,428,0.4719626168224299
SFP/USDT:USDT,0.04970253005229708,-0.02258356577403209,482,0.46887966804979253
ALGO/USDT:USDT,0.049365759919848484,-0.011425181523752714,361,0.3961218836565097
SUSHI/USDT:USDT,0.04732848258731304,-0.015596305622689766,483,0.4824016563146998
GMT/USDT:USDT,0.045893006580704165,-0.013322912222136218,403,0.39950372208436724
ATOM/USDT:USDT,0.04383276903332578,-0.012864325130636733,541,0.43622920517560076
KSM/USDT:USDT,0.041406490578749455,-0.0144165652577799,489,0.49897750511247446
1INCH/USDT:USDT,0.03690953440395606,-0.028782873297819145,455,0.4725274725274725
AVAX/USDT:USDT,0.0358669655123367,-0.02301291072639422,509,0.5049115913555993
TRB/USDT:USDT,0.03333205120965044,-0.01858385178937172,507,0.5069033530571992
EGLD/USDT:USDT,0.03138723394530318,-0.03238272516028873,504,0.4742063492063492
XMR/USDT:USDT,0.03112926800732696,-0.021460184734190424,487,0.5277207392197125
MASK/USDT:USDT,0.03091385119494694,-0.01760167949273339,503,0.4850894632206759
ETC/USDT:USDT,0.030639862874895396,-0.013649926164009396,504,0.5079365079365079
LTC/USDT:USDT,0.03008913522377643,-0.012068651131762698,513,0.49902534113060426
RLC/USDT:USDT,0.02895741138789143,-0.016035231359233237,487,0.49691991786447637
NEO/USDT:USDT,0.025887083639554387,-0.024992624415919207,501,0.4111776447105788
IMX/USDT:USDT,0.025082644107451424,-0.022150660635393282,491,0.4439918533604888
ETH/USDT:USDT,0.02368954317970995,-0.010242350753305374,521,0.5335892514395394
CHZ/USDT:USDT,0.02319625558309757,-0.029934612638056968,381,0.41732283464566927
UNI/USDT:USDT,0.022246358863498683,-0.027105728521995,518,0.47104247104247104
AR/USDT:USDT,0.020331727216831963,-0.02530815117676921,520,0.4423076923076923
XRP/USDT:USDT,0.01937983903376095,-0.0086853878774793,361,0.481994459833795
SAND/USDT:USDT,0.01857542160388559,-0.025358428068828265,483,0.4886128364389234
AAVE/USDT:USDT,0.01519047322305589,-0.03229675487293859,478,0.5418410041841004
KNC/USDT:USDT,0.014865484633999948,-0.013821414838921298,552,0.3641304347826087
VET/USDT:USDT,0.013593278234247608,-0.020827966072125892,438,0.4977168949771689
RUNE/USDT:USDT,0.012145564759395766,-0.01512461084594885,493,0.4563894523326572
ENS/USDT:USDT,0.010162569735871596,-0.01689814676248036,493,0.4766734279918864
COTI/USDT:USDT,0.009264874564416381,-0.02943974715560438,474,0.4451476793248945
GRT/USDT:USDT,0.008417690558380153,-0.02309018470684565,373,0.4316353887399464
API3/USDT:USDT,0.008386306823402023,-0.017415402521945178,515,0.44271844660194176
