symbol,return_pct,max_dd,trades,winrate_pct,score
ALICE/USDT:USDT,112.45926503439519,-0.0135744740796392,455,43.2967032967033,82.84613044646535
C98/USDT:USDT,70.7757233622186,-0.0114941397360036,465,39.56989247311828,61.575485410643374
DYDX/USDT:USDT,86.44265368742532,-0.0154636414762047,434,37.096774193548384,55.90058061061647
DENT/USDT:USDT,64.99544386794491,-0.0121456154577413,386,38.860103626943,53.51350377762743
FLOW/USDT:USDT,69.91409304646503,-0.0152281627978139,456,32.01754385964912,45.911049136210735
CELO/USDT:USDT,101.70125881963624,-0.0259302068639436,422,31.04265402843602,39.221152130897025
SNX/USDT:USDT,50.944014594801715,-0.0130150200027241,581,42.51290877796901,39.142478908322005
GTC/USDT:USDT,102.9342690888027,-0.0285189373474047,441,32.426303854875286,36.09330454178721
CTSI/USDT:USDT,45.52325941231847,-0.0159500704693077,480,41.66666666666667,28.541102373132254
ATA/USDT:USDT,95.14709965928763,-0.0361853706443247,444,36.03603603603603,26.294355416312552
CHR/USDT:USDT,33.86312962725526,-0.0138299077898362,553,38.69801084990958,24.48543413437779
OGN/USDT:USDT,46.42733444789397,-0.0199749231665929,468,39.52991452991453,23.242810027695853
ICX/USDT:USDT,27.196905255515457,-0.0121625396727872,498,41.16465863453815,22.36120579024014
ZIL/USDT:USDT,16.78558870127604,-0.007550702776606,366,34.42622950819672,22.23049853489409
XTZ/USDT:USDT,30.66189008984308,-0.0159717751659514,540,36.11111111111111,19.19754677940123
