symbol,return,max_dd,trades,winrate
ALICE/USDT:USDT,1.1245926503439518,-0.013574474079639298,455,0.432967032967033
GTC/USDT:USDT,1.029342690888027,-0.028518937347404738,441,0.3242630385487528
CELO/USDT:USDT,1.0170125881963625,-0.02593020686394365,422,0.3104265402843602
ATA/USDT:USDT,0.9514709965928763,-0.0361853706443247,444,0.36036036036036034
DYDX/USDT:USDT,0.8644265368742532,-0.015463641476204715,434,0.3709677419354839
C98/USDT:USDT,0.707757233622186,-0.011494139736003661,465,0.3956989247311828
FLOW/USDT:USDT,0.6991409304646503,-0.015228162797813916,456,0.3201754385964912
DENT/USDT:USDT,0.6499544386794491,-0.012145615457741399,386,0.38860103626943004
SNX/USDT:USDT,0.5094401459480171,-0.013015020002724143,581,0.42512908777969016
OGN/USDT:USDT,0.46427334447893975,-0.019974923166592995,468,0.3952991452991453
CTSI/USDT:USDT,0.45523259412318473,-0.015950070469307742,480,0.4166666666666667
CHR/USDT:USDT,0.3386312962725526,-0.013829907789836282,553,0.38698010849909587
ONE/USDT:USDT,0.3161444979596939,-0.018134293917265287,367,0.4087193460490463
XTZ/USDT:USDT,0.3066189008984308,-0.015971775165951496,540,0.3611111111111111
CRV/USDT:USDT,0.30191552727173177,-0.01960136078998531,378,0.4021164021164021
ICX/USDT:USDT,0.2719690525551546,-0.012162539672787243,498,0.41164658634538154
LRC/USDT:USDT,0.2692140687371052,-0.1107275416525727,444,0.5337837837837838
CELR/USDT:USDT,0.25000076556124196,-0.0215075724159286,361,0.37119113573407203
ONT/USDT:USDT,0.22170526982738492,-0.01187153229246729,543,0.36095764272559855
PEOPLE/USDT:USDT,0.1894620686262376,-0.011595476939224358,398,0.4472361809045226
GALA/USDT:USDT,0.16974609668428386,-0.011076420983340385,408,0.39705882352941174
ZIL/USDT:USDT,0.16785588701276044,-0.0075507027766060775,366,0.3442622950819672
BEL/USDT:USDT,0.13837019803371065,-0.010843278286404301,523,0.4435946462715105
IOTA/USDT:USDT,0.1247150328033726,-0.0099206232687582,535,0.3794392523364486
NEAR/USDT:USDT,0.12302433005387847,-0.019001513216314825,568,0.45774647887323944
HOT/USDT:USDT,0.12227576572275556,-0.01917491082876066,404,0.28465346534653463
FIL/USDT:USDT,0.11760209847765624,-0.020711891647800185,557,0.43447037701974867
MTL/USDT:USDT,0.10866354129977318,-0.007890239844161373,476,0.5630252100840336
NKN/USDT:USDT,0.10798116981077377,-0.016842579313944173,487,0.45585215605749485
DOT/USDT:USDT,0.10524187804897944,-0.01820506443920611,562,0.4626334519572954
1000XEC/USDT:USDT,0.09985919246362096,-0.01050502291514499,507,0.368836291913215
RVN/USDT:USDT,0.095120514414055,-0.00779049919159025,369,0.35772357723577236
SKL/USDT:USDT,0.0925942747903894,-0.01094413026429275,369,0.4363143631436314
ARPA/USDT:USDT,0.09027195952577705,-0.010084311459185202,513,0.40350877192982454
ROSE/USDT:USDT,0.08445218912948338,-0.012030694116990093,375,0.39466666666666667
ZRX/USDT:USDT,0.08288204303396873,-0.012770402538062164,519,0.41811175337186895
QTUM/USDT:USDT,0.08073888289933873,-0.06455893434577986,523,0.4474187380497132
KAVA/USDT:USDT,0.07713365398125904,-0.01673935850204744,540,0.3388888888888889
BAND/USDT:USDT,0.07652023097464133,-0.031330173555075946,505,0.4871287128712871
AXS/USDT:USDT,0.0760651516027433,-0.0156698882759444,489,0.37627811860940696
